title,author,description,date,publisher,language,subjects,categories,isbn,pages,source,identifier,download_count,file_size,pdf_url,cover_url,local_pdf_path,local_cover_path,added_date
Cantorion sheet music collection,,A large collection of sheet music from http://cantorion.org,,,en,"sheet music, sheet music","sheet music, sheet music",,,archive.org,Cantorion_sheet_music_collection,0,74791,https://archive.org/download/Cantorion_sheet_music_collection/0039b7927e840c0dc9bdd7a89938d472.pdf,https://archive.org/download/Cantorion_sheet_music_collection/__ia_thumb.jpg,,,2025-11-26T03:10:31.960151
Atomic Habits ( PDFDrive ),,book<div><br /></div>,,,en,book,book,,,archive.org,atomic-habits-pdfdrive,0,5111325,https://archive.org/download/atomic-habits-pdfdrive/Atomic habits ( PDFDrive ).pdf,https://archive.org/download/atomic-habits-pdfdrive/__ia_thumb.jpg,,,2025-11-26T03:10:32.050187
Surah-al-waqiah,,Surah-al-waqiah,,,en,Surah-al-waqiah,Surah-al-waqiah,,,archive.org,Surah-al-waqiah,0,613725,https://archive.org/download/Surah-al-waqiah/mafiadoc.com_surah-al-waqiah-pdf-alkalampk_59fd6cec1723dd41187607ee.pdf,https://archive.org/download/Surah-al-waqiah/__ia_thumb.jpg,,,2025-11-26T03:10:32.134156
Lundy Why Does He Do That,,Are you in abusive relationship ? This book may be just what you need to finally get some answers,,,en,Relationship abuse,Relationship abuse,,,archive.org,LundyWhyDoesHeDoThat,0,6408280,https://archive.org/download/LundyWhyDoesHeDoThat/Lundy_Why-does-he-do-that.pdf,https://archive.org/download/LundyWhyDoesHeDoThat/__ia_thumb.jpg,,,2025-11-26T03:10:32.215729
Haunting Adeline,H.D Carlton,"<span style=""color:rgb(32,33,36);font-family:'Google Sans', arial, sans-serif;font-size:20px;background-color:rgb(255,255,255);"">Haunting Adeline is </span><span style=""background-color:rgba(80,151,255,0.18);color:rgb(4,12,40);font-family:'Google Sans', arial, sans-serif;font-size:20px;"">the story of Addie, an author who lives alone in the haunted manor that she inherited from her grandmother</span><span style=""color:rgb(32,33,36);font-family:'Google Sans', arial, sans-serif;font-size:20px;background-color:rgb(255,255,255);"">. Shortly after moving in, she discovers a dark secret; her great-grandmother was murdered in that house and the killer was never caught. While trying to uncover her grandmother's mystery, she falls, quite literally, in the same situation.</span>",2021-07-12,,en,"Stalker, murder, love, dark romance","Stalker, murder, love, dark romance",,,archive.org,haunting-adeline,0,4429225,https://archive.org/download/haunting-adeline/Haunting Adeline.pdf,https://archive.org/download/haunting-adeline/__ia_thumb.jpg,,,2025-11-26T03:10:32.296518
"The Complete Book Of Enoch, Standard English Version Jay Winter",,The Book of Enoch,,,en,"Enoch, Nephelim","Enoch, Nephelim",,,archive.org,TheCompleteBookOfEnochStandardEnglishVersionJayWinter,0,2952283,"https://archive.org/download/TheCompleteBookOfEnochStandardEnglishVersionJayWinter/The Complete Book of Enoch, Standard English Version - Jay Winter.pdf",https://archive.org/download/TheCompleteBookOfEnochStandardEnglishVersionJayWinter/__ia_thumb.jpg,,,2025-11-26T03:10:32.380992
Cantorion sheet music collection (part 3),,,,,en,sheet music,sheet music,,,archive.org,Cantorion_sheet_music_collection_3,0,3231046,https://archive.org/download/Cantorion_sheet_music_collection_3/00152640266732a1a1c4473b75d2085c.pdf,https://archive.org/download/Cantorion_sheet_music_collection_3/__ia_thumb.jpg,,,2025-11-26T03:10:34.304986
Goody Two-Shoes,,"[""Publisher's chromolithographed pictorial wrappers"", 'Ex libris Elvah Karshner']",c1888,New-York : McLoughlin Bro's,en,"Brothers and sisters, Orphans, Conduct of life, Education","Brothers and sisters, Orphans, Conduct of life, Education",,,archive.org,goodytwoshoes00newyiala,0,1508606,https://archive.org/download/goodytwoshoes00newyiala/goodytwoshoes00newyiala.pdf,https://archive.org/download/goodytwoshoes00newyiala/__ia_thumb.jpg,,,2025-11-26T03:10:34.401145
Essential Grammar In Use 4th Edition By R. Murphy,,Essential Grammar In Use ..,,,en,Gramatica pow,Gramatica pow,,,archive.org,EssentialGrammarInUse4thEditionByR.Murphy,0,14091812,https://archive.org/download/EssentialGrammarInUse4thEditionByR.Murphy/Essential Grammar in Use 4th Edition by R. Murphy.pdf,https://archive.org/download/EssentialGrammarInUse4thEditionByR.Murphy/__ia_thumb.jpg,,,2025-11-26T03:10:34.482626
the-art-of-seduction-robert-greene,"Robert Greene, author of The 48 Laws of Power, has a degree in classical literature. He lives in Los Angeles. Visit his Web site: www.seductionbook.com Joost Elffers is the producer of Viking Studio's best- selling The Secret Language of Birthdays, The Secret Language of Relationships, as well as Play with Your Food. He lives in New York City","<div class=""thumb tright"" style=""clear:right;float:right;margin:0.5em 0px 1.3em 1.4em;width:auto;background-color:rgb(255,255,255);color:rgb(34,34,34);font-family:sans-serif;font-size:14px;""><div class=""thumbinner"" style=""border:1px solid rgb(200,204,209);padding:3px;background-color:rgb(248,249,250);font-size:13.16px;text-align:center;width:222px;""><a href=""https://en.wikipedia.org/wiki/File:Max_Slevogt_Francisco_d%27Andrade_as_Don_Giovanni.jpg"" class=""image"" style=""color:rgb(11,0,128);background:none;"" rel=""ugc nofollow""><img alt="""" src=""//web.archive.org/web/2im_/https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Max_Slevogt_Francisco_d%27Andrade_as_Don_Giovanni.jpg/220px-Max_Slevogt_Francisco_d%27Andrade_as_Don_Giovanni.jpg"" width=""220"" height=""269"" class=""thumbimage"" style=""border:1px solid rgb(200,204,209);vertical-align:middle;background-color:rgb(255,255,255);"" /></a><div class=""thumbcaption"" style=""border:0px;line-height:1.4em;padding:3px;font-size:12.3704px;text-align:left;""><div class=""magnify"" style=""float:right;margin-left:3px;margin-right:0px;""><a href=""https://en.wikipedia.org/wiki/File:Max_Slevogt_Francisco_d%27Andrade_as_Don_Giovanni.jpg"" class=""internal"" title=""Enlarge"" style=""color:rgb(11,0,128);background:0;text-indent:15px;white-space:nowrap;width:15px;height:11px;"" rel=""ugc nofollow""></a></div>Don Juan in <a href=""https://en.wikipedia.org/wiki/Mozart"" class=""mw-redirect"" title=""Mozart"" style=""color:rgb(11,0,128);background:none;"" rel=""ugc nofollow"">Mozart's</a> opera <i><a href=""https://en.wikipedia.org/wiki/Don_Giovanni"" title=""Don Giovanni"" style=""color:rgb(11,0,128);background:none;"" rel=""ugc nofollow"">Don Giovanni</a></i>, a painting by <a href=""https://en.wikipedia.org/wiki/Max_Slevogt"" title=""Max Slevogt"" style=""color:rgb(11,0,128);background:none;"" rel=""ugc nofollow"">Max Slevogt</a></div></div></div><p style=""margin:0.5em 0px;line-height:inherit;color:rgb(34,34,34);font-family:sans-serif;background-color:rgb(255,255,255);""><span style=""font-size:14px;""><b>Seduction</b> is the process of deliberately <a href=""https://en.wiktionary.org/wiki/entice"" class=""extiw"" title=""wikt:entice"" style=""color:rgb(102,51,102);background:none;"" rel=""ugc nofollow"">enticing</a> a person, to engage in a relationship, to lead astray, as from duty, rectitude, or the like; to <a href=""https://en.wikipedia.org/wiki/Corruption"" title=""Corruption"" style=""color:rgb(11,0,128);background:none;"" rel=""ugc nofollow"">corrupt</a>, to <a href=""https://en.wikipedia.org/wiki/Persuade"" class=""mw-redirect"" title=""Persuade"" style=""color:rgb(11,0,128);background:none;"" rel=""ugc nofollow"">persuade</a> or <a href=""https://en.wiktionary.org/wiki/induce"" class=""extiw"" title=""wikt:induce"" style=""color:rgb(102,51,102);background:none;"" rel=""ugc nofollow"">induce</a> to engage in <a href=""https://en.wikipedia.org/wiki/Human_sexual_activity"" title=""Human sexual activity"" style=""color:rgb(11,0,128);background:none;"" rel=""ugc nofollow"">sexual behaviour</a>. Strategies of seduction include conversation and sexual scripts, paralingual features, <a href=""https://en.wikipedia.org/wiki/Non-verbal_communication"" class=""mw-redirect"" title=""Non-verbal communication"" style=""color:rgb(11,0,128);background:none;"" rel=""ugc nofollow"">non-verbal communication</a>, and short-term behavioural strategies. The word <i>seduction</i> stems from <a href=""https://en.wikipedia.org/wiki/Latin"" title=""Latin"" style=""color:rgb(11,0,128);background:none;"" rel=""ugc nofollow"">Latin</a> and means literally ""leading astray.</span><span style=""font-size:11.2px;white-space:nowrap;"">2</span><span style=""font-size:14px;"">As a result, the term may have a positive or negative connotation. Famous seducers from history or legend include </span><a href=""https://en.wikipedia.org/wiki/Lilith"" title=""Lilith"" style=""font-size:14px;color:rgb(11,0,128);background:none;"" rel=""ugc nofollow"">Lilith</a><span style=""font-size:14px;"">, </span><a href=""https://en.wikipedia.org/wiki/Giacomo_Casanova"" title=""Giacomo Casanova"" style=""font-size:14px;color:rgb(11,0,128);background:none;"" rel=""ugc nofollow"">Giacomo Casanova</a><span style=""font-size:14px;"">, and the fictional character </span><a href=""https://en.wikipedia.org/wiki/Don_Juan"" title=""Don Juan"" style=""font-size:14px;color:rgb(11,0,128);background:none;"" rel=""ugc nofollow"">Don Juan</a><span style=""font-size:14px;"">. The emergence of the Internet and technology has supported the availability and the existence of a </span><a href=""https://en.wikipedia.org/wiki/Seduction_community"" class=""mw-redirect"" title=""Seduction community"" style=""font-size:14px;color:rgb(11,0,128);background:none;"" rel=""ugc nofollow"">seduction community</a><span style=""font-size:14px;"">, which is based on discourse about seduction. This is predominately by </span><a href=""https://en.wikipedia.org/wiki/Pickup_artist"" title=""Pickup artist"" style=""font-size:14px;color:rgb(11,0,128);background:none;"" rel=""ugc nofollow"">""pickup artists"" (PUA)</a><span style=""font-size:14px;"">. Seduction is also used within marketing to increase compliance and willingness.</span><sup class=""reference"" style=""font-size:11.2px;line-height:1;white-space:nowrap;""><a href=""https://en.wikipedia.org/wiki/Seduction#cite_note-:3-7"" style=""color:rgb(11,0,128);background:none;"" rel=""ugc nofollow"">[7]</a></sup></p><p style=""margin:0.5em 0px;line-height:inherit;color:rgb(34,34,34);font-family:sans-serif;font-size:14px;background-color:rgb(255,255,255);"">Seduction, seen negatively, involves <a href=""https://en.wikipedia.org/wiki/Temptation"" title=""Temptation"" style=""color:rgb(11,0,128);background:none;"" rel=""ugc nofollow"">temptation</a> and <a href=""https://en.wikipedia.org/wiki/Enticement"" title=""Enticement"" style=""color:rgb(11,0,128);background:none;"" rel=""ugc nofollow"">enticement</a>, often sexual in nature, to lead someone astray into a behavioural choice they would not have made if they were not in a state of <a href=""https://en.wikipedia.org/wiki/Sexual_arousal"" title=""Sexual arousal"" style=""color:rgb(11,0,128);background:none;"" rel=""ugc nofollow"">sexual arousal</a>. Seen positively, seduction is a synonym for the act of charming someone—male or female—by an appeal to the senses, often with the goal of reducing unfounded fears and leading to their ""sexual emancipation."" Some sides in contemporary academic debate state that the morality of seduction depends on the long-term impacts on the individuals concerned, rather than the act itself, and may not necessarily carry the negative connotations expressed in dictionary definitions.</p>",2009-11-22,,en,the- art- of - seduction,the- art- of - seduction,,,archive.org,the-art-of-seduction-robert-greene,0,4844385,https://archive.org/download/the-art-of-seduction-robert-greene/the-art-of-seduction-robert-greene.pdf,https://archive.org/download/the-art-of-seduction-robert-greene/__ia_thumb.jpg,,,2025-11-26T03:10:34.570456
